row_id,raceId,driverId,constructorId,circuitId,year,round,race_name,circuit_name,constructor_name,date,stop_number,pit_lap,stop_duration_ms,pit_lap_time_ms,grid,current_position,positionOrder,driver_points_before,constructor_points_before,lap_time_delta,recent_pace_delta,laps_since_last_pit,race_total_laps,laps_remaining,race_progress,approx_gap_ahead,approx_gap_behind,pressure_index,position_change_from_grid,safety_car_likely,strategy
72,901,820,206,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Marussia,2014-03-30,2,27,29210,117708,21,17,15,0.0,0.0,7841.0,1715.0,17.0,56,29,0.48214285714285715,7.05,21.415,0.16883658486234399,4,0,Standard
73,901,820,206,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Marussia,2014-03-30,3,41,27828,113500,21,15,15,0.0,0.0,5039.0,1003.3333333333285,14.0,56,15,0.7321428571428571,30.924,14.49,0.09588217465156312,6,0,Standard
84,901,826,5,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Toro Rosso,2014-03-30,2,22,27473,112826,11,11,10,2.0,6.0,5903.0,2003.3333333333285,12.0,56,34,0.39285714285714285,1.04,1.902,0.8347860164051837,0,0,Standard
94,902,4,6,3,2014,3,Bahrain Grand Prix,Bahrain International Circuit,Ferrari,2014-04-06,2,28,24576,104754,9,8,9,24.0,30.0,4155.0,1537.6666666666715,16.0,57,29,0.49122807017543857,1.745,2.404,0.6580707578569303,1,0,Standard
104,902,18,1,3,2014,3,Bahrain Grand Prix,Bahrain International Circuit,McLaren,2014-04-06,1,17,24476,105970,6,3,17,23.0,43.0,4385.0,2026.6666666666715,17.0,57,40,0.2982456140350877,30.063,1.269,0.4729154261303253,3,0,Standard
105,902,18,1,3,2014,3,Bahrain Grand Prix,Bahrain International Circuit,McLaren,2014-04-06,2,35,25245,104279,6,4,17,23.0,43.0,3665.0,806.6666666666715,18.0,57,22,0.6140350877192983,1.984,8.321,0.4424052695447134,2,0,Standard
108,902,154,208,3,2014,3,Bahrain Grand Prix,Bahrain International Circuit,Lotus F1,2014-04-06,1,13,25192,106395,16,13,12,0.0,0.0,4316.0,1641.0,13.0,57,44,0.22807017543859648,2.538,3.492,0.505263549998062,3,0,Standard
116,902,813,208,3,2014,3,Bahrain Grand Prix,Bahrain International Circuit,Lotus F1,2014-04-06,2,39,26440,105975,17,12,14,0.0,0.0,5805.0,2129.3333333333285,20.0,57,18,0.6842105263157895,4.069,5.97,0.3407495924958669,5,0,Standard
117,902,813,208,3,2014,3,Bahrain Grand Prix,Bahrain International Circuit,Lotus F1,2014-04-06,3,40,34249,140719,17,15,14,0.0,0.0,40549.0,3335.0,1.0,57,17,0.7017543859649122,6.38,36.989,0.16182476442153668,2,0,Standard
137,902,824,206,3,2014,3,Bahrain Grand Prix,Bahrain International Circuit,Marussia,2014-04-06,5,40,25383,126736,19,18,16,0.0,0.0,24075.0,6733.0,9.0,57,17,0.7017543859649122,145.348,,,1,0,Standard
155,903,13,3,17,2014,4,Chinese Grand Prix,Shanghai International Circuit,Williams,2014-04-20,2,31,23830,110858,6,16,15,12.0,30.0,7250.0,3698.6666666666715,21.0,56,25,0.5535714285714286,8.041,6.887,0.23739815548308613,-10,0,Standard
164,903,807,10,17,2014,4,Chinese Grand Prix,Shanghai International Circuit,Force India,2014-04-20,1,11,23438,110550,8,7,6,28.0,44.0,6336.0,1050.0,11.0,56,45,0.19642857142857142,4.289,6.88,0.31597521145793445,1,0,Standard
174,903,820,206,17,2014,4,Chinese Grand Prix,Shanghai International Circuit,Marussia,2014-04-20,1,12,23781,113241,21,16,19,0.0,0.0,5995.0,830.6666666666715,12.0,56,44,0.21428571428571427,10.056,7.145,0.2132233335909648,5,0,Standard
175,903,820,206,17,2014,4,Chinese Grand Prix,Shanghai International Circuit,Marussia,2014-04-20,2,32,23878,112158,21,16,19,0.0,0.0,6756.0,1907.0,20.0,56,24,0.5714285714285714,22.259,0.527,0.6978729572201849,5,0,Standard
182,903,824,206,17,2014,4,Chinese Grand Prix,Shanghai International Circuit,Marussia,2014-04-20,1,11,24784,113460,19,19,17,0.0,0.0,6634.0,800.3333333333285,11.0,56,45,0.19642857142857142,1.257,27.628,0.47799685377936185,0,0,Standard
220,904,817,9,4,2014,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Red Bull,2014-05-11,2,45,21830,94947,3,3,3,24.0,57.0,3200.0,385.3333333333285,31.0,66,21,0.6818181818181818,20.795,15.136,0.10785531061226195,0,0,Overcut
234,904,826,5,4,2014,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Toro Rosso,2014-05-11,1,18,22703,97425,12,6,14,4.0,8.0,3775.0,856.3333333333285,18.0,66,48,0.2727272727272727,3.324,3.433,0.4568482157930399,6,0,Standard
243,905,8,6,6,2014,6,Monaco Grand Prix,Circuit de Monaco,Ferrari,2014-05-25,2,28,25684,143719,6,14,12,17.0,66.0,63110.0,21111.33333333333,2.0,78,50,0.358974358974359,1.407,44.921,0.43723145239760625,-8,1,Emergency
244,905,8,6,6,2014,6,Monaco Grand Prix,Circuit de Monaco,Ferrari,2014-05-25,3,73,31896,133714,6,12,12,17.0,66.0,53566.0,3485.0,45.0,78,5,0.9358974358974359,5.919,106.082,0.15386819397379747,-6,0,Standard
252,905,155,207,6,2014,6,Monaco Grand Prix,Circuit de Monaco,Caterham,2014-05-25,2,62,25116,105213,20,13,13,0.0,0.0,22788.0,7793.3333333333285,37.0,78,16,0.7948717948717948,79.585,66.56,0.027210915091622233,7,0,Standard
253,905,807,10,6,2014,6,Monaco Grand Prix,Circuit de Monaco,Force India,2014-05-25,1,26,25714,116657,11,9,5,37.0,57.0,35141.0,896.3333333333285,26.0,78,52,0.3333333333333333,4.214,2.47,0.4799757690721832,2,1,Emergency
255,905,818,5,6,2014,6,Monaco Grand Prix,Circuit de Monaco,Toro Rosso,2014-05-25,1,26,25444,116729,7,7,17,4.0,8.0,35350.0,814.6666666666715,26.0,78,52,0.3333333333333333,5.27,0.613,0.7794524354057097,0,1,Emergency
256,905,818,5,6,2014,6,Monaco Grand Prix,Circuit de Monaco,Toro Rosso,2014-05-25,2,37,19385,93149,7,12,17,4.0,8.0,12066.0,324.0,11.0,78,41,0.47435897435897434,0.654,2.723,0.8731955123239603,-5,0,Undercut
265,905,828,207,6,2014,6,Monaco Grand Prix,Circuit de Monaco,Caterham,2014-05-25,2,51,25585,105114,22,14,11,0.0,0.0,23180.0,833.0,26.0,78,27,0.6538461538461539,37.179,7.198,0.14817338040827327,8,0,Standard
290,906,821,15,7,2014,7,Canadian Grand Prix,Circuit Gilles Villeneuve,Sauber,2014-06-08,1,1,24370,149693,22,20,14,0.0,0.0,0.0,0.0,1.0,70,69,0.014285714285714285,15.628,,,2,0,Standard
297,906,826,5,7,2014,7,Canadian Grand Prix,Circuit Gilles Villeneuve,Toro Rosso,2014-06-08,1,29,25235,101297,15,17,16,4.0,8.0,20193.0,1019.6666666666715,29.0,70,41,0.4142857142857143,2.979,,,-2,0,Standard
314,907,20,9,70,2014,8,Austrian Grand Prix,Red Bull Ring,Red Bull,2014-06-22,2,28,29844,80070,12,21,21,60.0,139.0,5739.0,251.66666666667152,8.0,71,43,0.39436619718309857,4.822,,,-9,0,Standard
345,908,18,1,9,2014,9,British Grand Prix,Silverstone Circuit,McLaren,2014-07-06,1,28,28645,99555,3,4,4,43.0,72.0,-911.0,413.3333333333285,28.0,52,24,0.5384615384615384,15.499,1.474,0.46481345259747986,-1,0,Standard
348,908,154,208,9,2014,9,British Grand Prix,Silverstone Circuit,Lotus F1,2014-07-06,1,30,29710,100936,11,9,12,8.0,8.0,-755.0,249.66666666667152,30.0,52,22,0.5769230769230769,16.077,1.932,0.3996224148370262,2,0,Standard
349,908,155,207,9,2014,9,British Grand Prix,Silverstone Circuit,Caterham,2014-07-06,1,18,29507,103691,22,17,15,0.0,0.0,-230.0,675.3333333333285,18.0,52,34,0.34615384615384615,15.54,102.069,0.07016173044664331,5,0,Standard
350,908,155,207,9,2014,9,British Grand Prix,Silverstone Circuit,Caterham,2014-07-06,2,29,29540,103432,22,16,15,0.0,0.0,377.0,1388.0,11.0,52,23,0.5576923076923077,50.111,67.364,0.03419284169266018,6,0,Standard
366,909,3,131,10,2014,10,German Grand Prix,Hockenheimring,Mercedes,2014-07-20,1,15,20055,86395,1,1,1,165.0,326.0,4588.0,928.0,15.0,67,52,0.22388059701492538,,10.078,,0,0,Standard
375,909,16,15,10,2014,10,German Grand Prix,Hockenheimring,Sauber,2014-07-20,2,32,19638,88236,15,13,19,0.0,0.0,5154.0,2021.6666666666715,16.0,67,35,0.47761194029850745,4.949,5.535,0.32111766644892703,2,0,Standard
379,909,18,1,10,2014,10,German Grand Prix,Hockenheimring,McLaren,2014-07-20,3,61,19221,87734,11,8,8,55.0,90.0,5835.0,2015.0,30.0,67,6,0.9104477611940298,4.683,21.806,0.2198115097593332,3,0,Standard
411,909,825,1,10,2014,10,German Grand Prix,Hockenheimring,McLaren,2014-07-20,2,29,19135,89596,4,14,9,35.0,90.0,6497.0,1926.6666666666715,28.0,67,38,0.43283582089552236,1.781,1.529,0.7549960906558357,-10,0,Standard
430,910,16,15,11,2014,11,Hungarian Grand Prix,Hungaroring,Sauber,2014-07-27,1,8,31956,109692,11,12,11,0.0,0.0,4084.0,925.6666666666715,8.0,70,62,0.11428571428571428,2.12,0.733,0.897546865521476,-1,0,Undercut
435,910,20,9,11,2014,11,Hungarian Grand Prix,Hungaroring,Red Bull,2014-07-27,1,9,22170,137406,2,3,7,82.0,188.0,33372.0,264.6666666666715,9.0,70,61,0.12857142857142856,0.276,0.575,1.4186196944817633,-1,1,Undercut
442,910,813,208,11,2014,11,Hungarian Grand Prix,Hungaroring,Lotus F1,2014-07-27,3,43,21818,93646,20,10,13,0.0,8.0,3745.0,128.0,26.0,70,27,0.6142857142857143,0.262,4.276,0.9819305553719921,10,0,Overcut
468,911,4,6,13,2014,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,Ferrari,2014-08-24,1,12,28920,120692,4,2,7,115.0,142.0,4533.0,117.66666666667152,12.0,44,32,0.2727272727272727,1.428,3.429,0.6376462159877072,2,0,Standard
478,911,18,1,13,2014,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,McLaren,2014-08-24,1,13,22800,121025,10,3,6,60.0,97.0,4466.0,280.0,13.0,44,31,0.29545454545454547,1.717,0.513,1.0289915323484045,7,0,Standard
480,911,20,9,13,2014,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,Red Bull,2014-08-24,1,10,22800,120504,3,4,5,88.0,219.0,4375.0,418.3333333333285,10.0,44,34,0.22727272727272727,2.903,0.87,0.7909725276456749,-1,0,Standard
482,911,20,9,13,2014,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,Red Bull,2014-08-24,3,34,23190,118982,3,5,5,88.0,219.0,4295.0,886.6666666666715,12.0,44,10,0.7727272727272727,8.372,0.179,0.9548772316216676,-2,0,Standard
489,911,815,10,13,2014,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,Force India,2014-08-24,2,22,22977,121109,13,11,8,29.0,98.0,6210.0,1314.3333333333285,13.0,44,22,0.5,1.931,14.076,0.40751107614516563,2,0,Standard
493,911,818,5,13,2014,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,Toro Rosso,2014-08-24,2,29,23202,119859,12,13,11,11.0,17.0,4528.0,618.6666666666715,14.0,44,15,0.6590909090909091,0.249,1.864,1.1498025235831122,-1,0,Standard
504,911,826,5,13,2014,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,Toro Rosso,2014-08-24,1,10,24082,121015,11,9,9,6.0,17.0,4479.0,820.6666666666715,10.0,44,34,0.22727272727272727,0.548,1.729,1.0124294234667741,2,0,Undercut
506,911,828,207,13,2014,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,Caterham,2014-08-24,1,11,24083,124312,22,16,17,0.0,0.0,5682.0,649.3333333333285,11.0,44,33,0.25,8.55,1.469,0.509734318110009,6,0,Standard
517,912,155,207,14,2014,13,Italian Grand Prix,Autodromo Nazionale di Monza,Caterham,2014-09-07,1,22,25277,97738,18,16,17,0.0,0.0,6147.0,839.3333333333285,22.0,53,31,0.41509433962264153,5.782,3.311,0.3794138714094461,2,0,Standard
535,913,4,6,15,2014,14,Singapore Grand Prix,Marina Bay Street Circuit,Ferrari,2014-09-21,2,24,28810,121033,5,4,4,121.0,162.0,8184.0,461.6666666666715,12.0,60,36,0.4,2.094,11.032,0.4063179076868063,1,0,Standard
555,913,813,208,15,2014,14,Singapore Grand Prix,Marina Bay Street Circuit,Lotus F1,2014-09-21,1,11,29960,123587,18,13,12,0.0,8.0,7503.0,963.3333333333285,11.0,60,49,0.18333333333333332,6.123,1.375,0.5614429165712259,5,0,Standard
603,914,16,15,22,2014,15,Japanese Grand Prix,Suzuka Circuit,Sauber,2014-10-05,4,32,24314,122731,14,17,21,0.0,0.0,6978.0,1555.6666666666715,10.0,44,12,0.7272727272727273,7.171,9.341,0.2190864876929361,-3,0,Standard
604,914,18,1,22,2014,15,Japanese Grand Prix,Suzuka Circuit,McLaren,2014-10-05,1,2,1136054,190581,8,8,5,72.0,111.0,-4765.0,0.0,2.0,44,42,0.045454545454545456,2.048,2.569,0.6082745190614132,0,0,Standard
616,914,155,207,22,2014,15,Japanese Grand Prix,Suzuka Circuit,Caterham,2014-10-05,1,2,1133381,193952,19,18,19,0.0,0.0,-22303.0,0.0,2.0,44,42,0.045454545454545456,2.177,2.642,0.5893367640874303,1,0,Standard
620,914,155,207,22,2014,15,Japanese Grand Prix,Suzuka Circuit,Caterham,2014-10-05,5,39,24907,148235,19,21,19,0.0,0.0,32594.0,3235.6666666666715,1.0,44,5,0.8863636363636364,11.894,,,-2,0,Standard
633,914,817,9,22,2014,15,Japanese Grand Prix,Suzuka Circuit,Red Bull,2014-10-05,1,2,1135520,190920,6,6,4,181.0,305.0,-365.0,0.0,2.0,44,42,0.045454545454545456,2.962,1.674,0.6263693570596055,0,0,Standard
636,914,818,5,22,2014,15,Japanese Grand Prix,Suzuka Circuit,Toro Rosso,2014-10-05,1,2,1136557,193533,20,19,9,19.0,27.0,-25783.0,0.0,2.0,44,42,0.045454545454545456,2.642,2.463,0.5633413747242164,1,0,Standard
644,914,821,15,22,2014,15,Japanese Grand Prix,Suzuka Circuit,Sauber,2014-10-05,3,34,26943,120413,15,11,13,0.0,0.0,4214.0,505.0,23.0,44,10,0.7727272727272727,13.414,0.764,0.6362704186248755,4,0,Standard
652,914,825,1,22,2014,15,Japanese Grand Prix,Suzuka Circuit,McLaren,2014-10-05,2,11,24550,120424,7,7,14,39.0,111.0,-182.0,28129.666666666657,9.0,44,33,0.25,0.988,2.097,0.8259112310284048,0,0,Standard
658,914,826,5,22,2014,15,Japanese Grand Prix,Suzuka Circuit,Toro Rosso,2014-10-05,3,23,24222,118942,12,10,11,8.0,27.0,2675.0,165.0,12.0,44,21,0.5227272727272727,1.897,0.81,0.8976708616457871,2,0,Standard
674,915,807,10,71,2014,16,Russian Grand Prix,Sochi Autodrom,Force India,2014-10-12,1,24,30096,109023,17,13,12,76.0,122.0,3913.0,177.0,24.0,53,29,0.4528301886792453,3.299,4.524,0.4136404758090855,4,0,Standard
680,915,821,15,71,2014,16,Russian Grand Prix,Sochi Autodrom,Sauber,2014-10-12,1,39,30303,113020,13,14,15,0.0,0.0,8172.0,1096.6666666666715,39.0,53,14,0.7358490566037735,2.996,29.103,0.2834695307206353,-1,0,Overcut
686,915,828,207,71,2014,16,Russian Grand Prix,Sochi Autodrom,Caterham,2014-10-12,2,43,30760,111575,16,19,19,0.0,0.0,5908.0,2195.3333333333285,16.0,53,10,0.8113207547169812,13.183,,,-3,0,Standard
718,916,825,1,69,2014,17,United States Grand Prix,Circuit of the Americas,McLaren,2014-11-02,1,1,26881,110641,7,5,8,49.0,143.0,0.0,0.0,1.0,56,55,0.017857142857142856,0.183,1.413,1.259730419091572,2,0,Undercut
723,917,1,131,18,2014,18,Brazilian Grand Prix,Autódromo José Carlos Pace,Mercedes,2014-11-09,1,8,23351,80715,2,1,2,316.0,608.0,5105.0,323.3333333333285,8.0,71,63,0.11267605633802817,,13.118,,1,0,Standard
731,917,4,6,18,2014,18,Brazilian Grand Prix,Autódromo José Carlos Pace,Ferrari,2014-11-09,3,52,23077,81597,8,3,6,149.0,196.0,6508.0,318.3333333333285,24.0,71,19,0.7323943661971831,24.628,2.337,0.33869018467075007,5,0,Standard
736,917,13,3,18,2014,18,Brazilian Grand Prix,Autódromo José Carlos Pace,Williams,2014-11-09,3,50,26918,82074,3,3,3,83.0,238.0,7184.0,1190.3333333333285,25.0,71,21,0.704225352112676,25.824,8.135,0.14674912270477744,0,0,Standard
742,917,18,1,18,2014,18,Brazilian Grand Prix,Autódromo José Carlos Pace,McLaren,2014-11-09,3,50,23383,81636,5,4,4,94.0,147.0,6371.0,980.6666666666715,23.0,71,21,0.704225352112676,8.135,1.777,0.4695699032182213,1,0,Standard
757,917,815,10,18,2014,18,Brazilian Grand Prix,Autódromo José Carlos Pace,Force India,2014-11-09,3,47,30067,82869,18,12,15,47.0,123.0,7252.0,347.6666666666715,22.0,71,24,0.6619718309859155,6.965,7.409,0.24446948263440282,6,0,Standard
771,917,825,1,18,2014,18,Brazilian Grand Prix,Autódromo José Carlos Pace,McLaren,2014-11-09,3,47,24131,82565,7,8,9,53.0,147.0,7619.0,2101.3333333333285,21.0,71,24,0.6619718309859155,1.868,1.028,0.8417716818103043,-1,0,Standard
784,918,13,3,24,2014,19,Abu Dhabi Grand Prix,Yas Marina Circuit,Williams,2014-11-23,2,43,22040,109520,4,1,2,98.0,254.0,2638.0,375.6666666666715,30.0,55,12,0.7818181818181819,,8.96,,3,0,Overcut
796,918,155,207,24,2014,19,Abu Dhabi Grand Prix,Yas Marina Circuit,Caterham,2014-11-23,2,36,22426,111611,16,17,18,0.0,0.0,2058.0,73.66666666667152,21.0,55,19,0.6545454545454545,23.555,25.398,0.07860656097969573,-1,0,Overcut
799,918,813,208,24,2014,19,Abu Dhabi Grand Prix,Yas Marina Circuit,Lotus F1,2014-11-23,1,7,21998,112953,15,12,19,2.0,10.0,2922.0,255.66666666667152,7.0,55,48,0.12727272727272726,0.885,2.138,0.849178293630064,3,0,Undercut
802,918,817,9,24,2014,19,Abu Dhabi Grand Prix,Yas Marina Circuit,Red Bull,2014-11-23,1,27,21747,110536,20,5,4,214.0,373.0,2285.0,1062.6666666666715,27.0,55,28,0.4909090909090909,6.96,13.801,0.19319114320334868,15,0,Standard
805,918,818,5,24,2014,19,Abu Dhabi Grand Prix,Yas Marina Circuit,Toro Rosso,2014-11-23,2,30,22761,109934,10,8,12,22.0,30.0,1490.0,468.6666666666715,17.0,55,25,0.5454545454545454,4.628,4.74,0.3518990413784735,2,0,Standard
807,918,821,15,24,2014,19,Abu Dhabi Grand Prix,Yas Marina Circuit,Sauber,2014-11-23,1,7,23128,112375,14,9,15,0.0,0.0,2726.0,1230.0,7.0,55,48,0.12727272727272726,0.636,0.651,1.216940462844627,5,0,Undercut
808,918,821,15,24,2014,19,Abu Dhabi Grand Prix,Yas Marina Circuit,Sauber,2014-11-23,2,28,23270,112498,14,14,15,0.0,0.0,3295.0,1074.3333333333285,21.0,55,27,0.509090909090909,6.714,13.098,0.2005664780037276,0,0,Standard
817,926,3,131,1,2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Mercedes,2015-03-15,1,26,22105,111568,2,1,2,0.0,0.0,19325.0,1077.0,26.0,58,32,0.4482758620689655,,0.859,,1,0,Standard
825,926,815,10,1,2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Force India,2015-03-15,1,38,26009,120409,14,12,10,0.0,0.0,25538.0,613.0,38.0,58,20,0.6551724137931034,2.073,,,2,0,Standard
826,926,817,9,1,2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Red Bull,2015-03-15,1,23,22535,113800,6,10,6,0.0,0.0,19809.0,550.6666666666715,23.0,58,35,0.39655172413793105,4.144,15.2,0.25612963922969106,-4,0,Standard
846,927,18,1,2,2015,2,Malaysian Grand Prix,Sepang International Circuit,McLaren,2015-03-29,1,4,33027,143593,17,15,17,0.0,0.0,33124.0,4174.3333333333285,4.0,56,52,0.07142857142857142,0.209,28.74,0.8607546072023152,2,1,Emergency
858,927,813,208,2,2015,2,Malaysian Grand Prix,Sepang International Circuit,Lotus F1,2015-03-29,2,18,37394,112960,12,16,16,0.0,0.0,5815.0,2135.3333333333285,17.0,56,38,0.32142857142857145,2.934,10.821,0.3387894162831461,-4,0,Standard
879,927,832,5,2,2015,2,Malaysian Grand Prix,Sepang International Circuit,Toro Rosso,2015-03-29,2,32,25165,112066,15,8,8,2.0,2.0,5280.0,1773.0,18.0,56,24,0.5714285714285714,9.189,5.518,0.25156635327203847,7,0,Standard
880,927,833,209,2,2015,2,Malaysian Grand Prix,Sepang International Circuit,Manor Marussia,2015-03-29,1,5,27540,144906,19,11,15,0.0,0.0,32671.0,8888.333333333328,5.0,56,51,0.08928571428571429,1.846,1.619,0.7331954684361028,8,1,Emergency
883,928,1,131,17,2015,3,Chinese Grand Prix,Shanghai International Circuit,Mercedes,2015-04-12,1,14,22645,108299,1,2,1,43.0,76.0,4610.0,318.6666666666715,14.0,56,42,0.25,1.054,5.492,0.6408906535254835,-1,0,Standard
898,928,154,208,17,2015,3,Chinese Grand Prix,Shanghai International Circuit,Lotus F1,2015-04-12,2,32,23605,110360,8,8,7,0.0,0.0,5099.0,977.6666666666715,20.0,56,24,0.5714285714285714,8.838,5.201,0.26291098836139826,0,0,Standard
913,928,830,5,17,2015,3,Chinese Grand Prix,Shanghai International Circuit,Toro Rosso,2015-04-12,1,12,24256,110270,13,9,17,6.0,12.0,4841.0,598.3333333333285,12.0,56,44,0.21428571428571427,0.903,2.879,0.7832844762689324,4,0,Undercut
919,928,833,209,17,2015,3,Chinese Grand Prix,Shanghai International Circuit,Manor Marussia,2015-04-12,1,17,25938,114809,20,17,16,0.0,0.0,6032.0,993.3333333333285,17.0,56,39,0.30357142857142855,24.645,13.333,0.10876302033367623,3,0,Standard
948,929,826,9,3,2015,4,Bahrain Grand Prix,Bahrain International Circuit,Red Bull,2015-04-19,1,15,25421,105467,17,8,9,2.0,13.0,4092.0,1457.0,15.0,57,42,0.2631578947368421,1.357,0.054,1.3730347408784362,9,0,Standard
967,930,3,131,4,2015,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Mercedes,2015-05-10,1,15,21870,95740,1,1,1,66.0,159.0,4337.0,856.0,15.0,66,51,0.22727272727272727,,14.767,,0,0,Standard
974,930,13,3,4,2015,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Williams,2015-05-10,3,47,22257,97032,9,6,6,31.0,61.0,5923.0,1290.6666666666715,15.0,66,19,0.7121212121212122,6.836,40.19,0.15189386799380006,3,0,Standard
983,930,807,10,4,2015,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Force India,2015-05-10,2,26,22534,97880,17,14,15,6.0,11.0,4707.0,1047.6666666666715,16.0,66,40,0.3939393939393939,1.045,0.485,1.1623982284128984,3,0,Standard
989,930,815,10,4,2015,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Force India,2015-05-10,2,36,22426,97204,18,16,13,5.0,11.0,4030.0,2066.3333333333285,17.0,66,30,0.5454545454545454,0.077,18.304,0.980307841962505,2,0,Undercut
990,930,817,9,4,2015,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Red Bull,2015-05-10,1,13,22440,96742,10,9,7,19.0,23.0,3011.0,640.3333333333285,13.0,66,53,0.19696969696969696,0.675,1.317,1.0286075019808165,1,0,Undercut
1000,930,829,209,4,2015,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Manor Marussia,2015-05-10,3,47,22796,100082,19,17,17,0.0,0.0,4721.0,341.0,15.0,66,19,0.7121212121212122,106.038,26.616,0.0455533687400563,2,0,Standard
1006,930,832,5,4,2015,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Toro Rosso,2015-05-10,2,42,22178,96338,5,8,9,6.0,12.0,3190.0,194.0,28.0,66,24,0.6363636363636364,26.088,3.882,0.24175080028059728,-3,0,Overcut
1051,932,154,208,7,2015,7,Canadian Grand Prix,Circuit Gilles Villeneuve,Lotus F1,2015-06-07,1,27,24292,96425,5,7,10,16.0,16.0,17177.0,1373.0,27.0,70,43,0.38571428571428573,5.95,3.288,0.3770938473102115,-2,0,Standard
1071,933,807,10,70,2015,8,Austrian Grand Prix,Red Bull Ring,Force India,2015-06-21,1,25,21685,77980,5,6,6,10.0,21.0,4976.0,619.0,25.0,71,46,0.352112676056338,4.422,1.384,0.6038968755183333,-1,0,Standard
